"País","Departamento","Ciudad o Municipio","Localidad","Departamento con código","Municipio con código","Comment","Comment User","Comment Date","Timestamp","Last Updated","Created By","Updated By","Entry Status","IP","ID","Key"
"Colombia","Antioquia","Medellin","Comuna 1 Popular","ANTIOQUIA - 1","MEDELLIN - 1","","","","2021-12-22 16:17:20","2022-04-02 16:01:03","danielb","","0","190.143.71.17","1","a3jc5"
"Colombia","Antioquia","Medellin","Comuna 2 Santa Cruz","ANTIOQUIA - 1","MEDELLIN - 1","","","","2021-12-22 16:17:20","2022-04-02 16:01:03","danielb","","0","190.143.71.17","2","rmnoo"
"Colombia","Antioquia","Medellin","Comuna 3 Manrique","ANTIOQUIA - 1","MEDELLIN - 1","","","","2021-12-22 16:17:20","2022-04-02 16:01:03","danielb","","0","190.143.71.17","3","8puxi"
"Colombia","Antioquia","Medellin","Comuna 4 Aranjuez","ANTIOQUIA - 1","MEDELLIN - 1","","","","2021-12-22 16:17:20","2022-04-02 16:01:03","danielb","","0","190.143.71.17","4","i6w9e"
"Colombia","Antioquia","Medellin","Comuna 5 Castilla","ANTIOQUIA - 1","MEDELLIN - 1","","","","2021-12-22 16:17:20","2022-04-02 16:01:03","danielb","","0","190.143.71.17","5","qqpmx"
"Colombia","Antioquia","Medellin","Comuna 6 Doce De Octubre","ANTIOQUIA - 1","MEDELLIN - 1","","","","2021-12-22 16:17:20","2022-04-02 16:01:03","danielb","","0","190.143.71.17","6","pbijz"
"Colombia","Antioquia","Medellin","Comuna 7 Robledo","ANTIOQUIA - 1","MEDELLIN - 1","","","","2021-12-22 16:17:20","2022-04-02 16:01:03","danielb","","0","190.143.71.17","7","u1ya9"
"Colombia","Antioquia","Medellin","Comuna 8 Villa Hermosa","ANTIOQUIA - 1","MEDELLIN - 1","","","","2021-12-22 16:17:20","2022-04-02 16:01:03","danielb","","0","190.143.71.17","8","plr5b"
"Colombia","Antioquia","Medellin","Comuna 9 Buenos Aires","ANTIOQUIA - 1","MEDELLIN - 1","","","","2021-12-22 16:17:20","2022-04-02 16:01:03","danielb","","0","190.143.71.17","9","da54w"
"Colombia","Antioquia","Medellin","Comuna 10 La Candelaria","ANTIOQUIA - 1","MEDELLIN - 1","","","","2021-12-22 16:17:20","2022-04-02 16:01:03","danielb","","0","190.143.71.17","10","l8ja6"
"Colombia","Antioquia","Medellin","Comuna 11 Laureles","ANTIOQUIA - 1","MEDELLIN - 1","","","","2021-12-22 16:17:20","2022-04-02 16:01:03","danielb","","0","190.143.71.17","11","w17k"
"Colombia","Antioquia","Medellin","Comuna 12 La America","ANTIOQUIA - 1","MEDELLIN - 1","","","","2021-12-22 16:17:20","2022-04-02 16:01:03","danielb","","0","190.143.71.17","12","1zk9"
"Colombia","Antioquia","Medellin","Comuna 13 San Javier","ANTIOQUIA - 1","MEDELLIN - 1","","","","2021-12-22 16:17:20","2022-04-02 16:01:03","danielb","","0","190.143.71.17","13","vbhcb"
"Colombia","Antioquia","Medellin","Comuna 14 El Poblado","ANTIOQUIA - 1","MEDELLIN - 1","","","","2021-12-22 16:17:20","2022-04-02 16:01:03","danielb","","0","190.143.71.17","14","jv1x2"
"Colombia","Antioquia","Medellin","Comuna 15 Guayabal","ANTIOQUIA - 1","MEDELLIN - 1","","","","2021-12-22 16:17:20","2022-04-02 16:01:03","danielb","","0","190.143.71.17","15","i5y84"
